Name,URL,Address,City,Zip,State,Price,Bath,Bed,SquareFt
"2.54 Acres in Lancaster Lancaster, CA 93535",https://www.forsalebyowner.com/listing/_/63617704103422599e08ffab,2.54 Acres in Lancaster,Lancaster,93535,CA,13999,0,0,0
"2.47 Acres in Llano Llano, CA 93544",https://www.forsalebyowner.com/listing/_/636173bd0f0022ad030b2a8f,2.47 Acres in Llano,Llano,93544,CA,11999,0,0,0
"2.54 Acres in Llano Llano, CA 93544",https://www.forsalebyowner.com/listing/_/63616a98987a5df8d500c69a,2.54 Acres in Llano,Llano,93544,CA,12999,0,0,0
"2.16 Acres in Llano Llano, CA 93544",https://www.forsalebyowner.com/listing/_/63616318267cbb31f409d418,2.16 Acres in Llano,Llano,93544,CA,19999,0,0,0
"2.53 Acres in Lancaster Lancaster, CA 93535",https://www.forsalebyowner.com/listing/_/636153dc987a5df8d500c699,2.53 Acres in Lancaster,Lancaster,93535,CA,9999,0,0,0
"2379 Evergreen Lane Pomona, AK 91766",https://www.forsalebyowner.com/listing/_/635362540ce045b05d0b385f,2379 Evergreen Lane,Pomona,91766,AK,78590570,0,1,332320
"202 Standish Street Monrovia, CA 91016",https://www.forsalebyowner.com/listing/_/6345dbe8cbe5327ef00b7498,202 Standish Street,Monrovia,91016,CA,1080000,2,3,1374
"Los Angeles, Ca.  93535 Los Angeles, CA 93535",https://www.forsalebyowner.com/listing/_/6345badccf34d7ad06015636,"Los Angeles, Ca.  93535",Los Angeles,93535,CA,7500,0,0,0
"1140 East Ocean Boulevard Long Beach, CA 90802",https://www.forsalebyowner.com/listing/_/633d50b91a09c1fad205dcc5,1140 East Ocean Boulevard,Long Beach,90802,CA,575000,1,1,690
"Lake Hughes, Ca. 93532 Lake Hughes, CA 93532",https://www.forsalebyowner.com/listing/_/633caac8e99f5e07b80a7887,"Lake Hughes, Ca. 93532",Lake Hughes,93532,CA,17000,0,0,0
"RANCHO PALOS VERDES CA 90275 RANCHO PALOS VERDES, CA 90275",https://www.forsalebyowner.com/listing/_/6338c18910fa31db6b063fc4,RANCHO PALOS VERDES CA 90275,RANCHO PALOS VERDES,90275,CA,43000,0,0,0
"1010 College View dr Monterey Park, CA 91754",https://www.forsalebyowner.com/listing/_/6335efe589df1b1e6d006c2a,1010 College View dr,Monterey Park,91754,CA,1800000,6,10,8724
"4050 Camino De La Cumbre Sherman Oaks, CA 91423",https://www.forsalebyowner.com/listing/_/6335edc8a3d688cf9801ce26,4050 Camino De La Cumbre,Sherman Oaks,91423,CA,2100000,5,4,9966
"7912 Ventura Canyon Avenue Los Angeles, CA 91402",https://www.forsalebyowner.com/listing/_/6335eb35350ee0345300d5f7,7912 Ventura Canyon Avenue,Los Angeles,91402,CA,1100000,1,2,18794
"40324 167th Street E Palmdale, CA 93591",https://www.forsalebyowner.com/listing/_/63351cb9e2fe9f03d30fc58d,40324 167th Street E,Palmdale,93591,CA,439990,2,3,1506
"1703 Hill Drive South Pasadena, CA 91030",https://www.forsalebyowner.com/listing/_/632e174c487aab18bb02ccc6,1703 Hill Drive,South Pasadena,91030,CA,2889000,3.5,4,3355
"14200 Polk St Sylmar, CA 91342",https://www.forsalebyowner.com/listing/_/63282ee0c31709503b0de0e4,14200 Polk St,Sylmar,91342,CA,560000,2,2,1009
"0 East Avenue H Lancaster, CA 93535",https://www.forsalebyowner.com/listing/_/632537bc0fa4e94d2002f899,0 East Avenue H,Lancaster,93535,CA,9900,0,0,0
"2121 James m wood blvd Los Angeles, CA 90006",https://www.forsalebyowner.com/listing/_/631d75e18481e555300fecaa,2121 James m wood blvd,Los Angeles,90006,CA,285000,1,0,300
"531 Pier Ave Hermosa Beach, CA 90254",https://www.forsalebyowner.com/listing/_/6306b9697a72cbd78b06479a,531 Pier Ave,Hermosa Beach,90254,CA,648999,1,2,800
"8347 sedan ave West Hills, CA 91304",https://www.forsalebyowner.com/listing/_/6301cbc4cdfdc451b9074a09,8347 sedan ave,West Hills,91304,CA,829900,2,4,6390
"28901 Selfridge Drive Malibu, CA 90265",https://www.forsalebyowner.com/listing/_/62faa4212cb5e75b2a065919,28901 Selfridge Drive,Malibu,90265,CA,4750000,0,0,0
"2856 Eva Terrace Los Angeles, CA 90031",https://www.forsalebyowner.com/listing/_/62e8b29c2f9119dbb805e209,2856 Eva Terrace,Los Angeles,90031,CA,99000,0,0,14907
"17503 Jeffrey Ave. Cerritos, CA 90703",https://www.forsalebyowner.com/listing/_/62dc17446248445a48037af5,17503 Jeffrey Ave.,Cerritos,90703,CA,1299900,3,4,5564
"24200 Walnut Street Torrance, CA 90501",https://www.forsalebyowner.com/listing/_/62c87c20eb5d6e44a10e1207,24200 Walnut Street,Torrance,90501,CA,245000,2,3,1600
"18822 renault st la puente, CA 91744",https://www.forsalebyowner.com/listing/_/629e79d51215be62df489eeb,18822 renault st,la puente,91744,CA,775000,2,3,6057
"248 S Doheny Drive #3 Beverly Hills, CA 90211",https://www.forsalebyowner.com/listing/_/627f97a8e5d95b5c924f20ed,248 S Doheny Drive #3,Beverly Hills,90211,CA,899000,2,2,1074
"7843 South Hobart Boulevard Los Angeles, CA 90047",https://www.forsalebyowner.com/listing/_/6273f7547a7b6f6b6b71e75b,7843 South Hobart Boulevard,Los Angeles,90047,CA,735000,2,3,5200
"10707 New Haven St UNIT 38 Sun Valley, CA 91352",https://www.forsalebyowner.com/listing/_/625f9c01c7deb07f2278f290,10707 New Haven St UNIT 38,Sun Valley,91352,CA,400000,2,2,0
"1620 Avenida Loma Vista San Dimas, CA 91773",https://www.forsalebyowner.com/listing/_/625208ec0dcae5554171d8fd,1620 Avenida Loma Vista,San Dimas,91773,CA,1100000,2.5,4,7448
"4908 North Vecino Drive Covina, CA 91722",https://www.forsalebyowner.com/listing/_/6250d65c07e74330236d703b,4908 North Vecino Drive,Covina,91722,CA,1100,1,1,0
"5930 Seville Ave Huntington Park, CA 90255",https://www.forsalebyowner.com/listing/_/6249ad8c30e0c6106936a5b9,5930 Seville Ave,Huntington Park,90255,CA,390000,2,3,1238
"29601 Parkglen Place Santa Clarita, CA 91387",https://www.forsalebyowner.com/listing/_/623a5d64b7f02e6da20c063f,29601 Parkglen Place,Santa Clarita,91387,CA,760000,2,3,1281
"20375 Julliard Drive Walnut, CA 91789",https://www.forsalebyowner.com/listing/_/62375254e1a8d03cea20fb8f,20375 Julliard Drive,Walnut,91789,CA,1020000,2,4,1620
"1718 Richard St, Pomona, CA 91767 Pomona, CA 91767",https://www.forsalebyowner.com/listing/_/6044710c158d0023e77f0f19,"1718 Richard St, Pomona, CA 91767",Pomona,91767,CA,680000,2,4,7455
"305 and 307 North Venice Boulevard Los Angeles, CA 90291",https://www.forsalebyowner.com/listing/_/622ebfa4ee4e040f803ce897,305 and 307 North Venice Boulevard,Los Angeles,90291,CA,2500000,4,4,1800
"611 Ridgeview Ct Diamond Bar, CA 91765",https://www.forsalebyowner.com/listing/_/62265ee040b84330065ba3a4,611 Ridgeview Ct,Diamond Bar,91765,CA,2000000,4,6,4241
"1318 murchison ave pomona, CA 91768",https://www.forsalebyowner.com/listing/_/5f7298a9ea22ed2788758009,1318 murchison ave,pomona,91768,CA,700000,2,3,1616
"27318 Great Divide Lane Valencia, CA 91381",https://www.forsalebyowner.com/listing/_/6472c57dd53b92944a00eaf4,27318 Great Divide Lane,Valencia,91381,CA,899990,3.5,4,
"27314 Great Divide Lane Valencia, CA 91381",https://www.forsalebyowner.com/listing/_/6472c57c0da893e1420d5514,27314 Great Divide Lane,Valencia,91381,CA,814990,2.5,3,
"1218 Poppy Court Montebello, CA 90640",https://www.forsalebyowner.com/listing/_/6472c57b74a63b70880b3f76,1218 Poppy Court,Montebello,90640,CA,1017990,3.5,4,
"1258 Poppy Court Montebello, CA 90640",https://www.forsalebyowner.com/listing/_/6472c57c00e98d8eb30aab56,1258 Poppy Court,Montebello,90640,CA,1060990,3.5,4,
"2051 Moonlit Marsh Upland, CA 91786",https://www.forsalebyowner.com/listing/_/6471741f24b9da82550b4275,2051 Moonlit Marsh,Upland,91786,CA,696100,2.5,3,
"2058 Moonlit Marsh Upland, CA 91786",https://www.forsalebyowner.com/listing/_/6471741d706dc15f550d6fda,2058 Moonlit Marsh,Upland,91786,CA,696600,2.5,3,
"1254 Bonnet Way Torrance, CA 90502",https://www.forsalebyowner.com/listing/_/64702fb83b47bbe9640bd764,1254 Bonnet Way,Torrance,90502,CA,957429,3.5,4,
"1242 Bonnet Way Torrance, CA 90502",https://www.forsalebyowner.com/listing/_/64702fb74b77a8d1da0c22e6,1242 Bonnet Way,Torrance,90502,CA,892147,3.5,4,
"28338 Old Springs Road Castaic, CA 91384",https://www.forsalebyowner.com/listing/_/64702c348a5f0d5d0c08f556,28338 Old Springs Road,Castaic,91384,CA,1754094,4,4,
"2901 Fisk Lane Redondo Beach, CA 90278",https://www.forsalebyowner.com/listing/_/646ed1bf6d18a725e606dba4,2901 Fisk Lane,Redondo Beach,90278,CA,1404635,2.5,3,
"21556 Canyon Cove Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/646d884437df326d110c6705,21556 Canyon Cove,Chatsworth,91311,CA,1763390,5.5,5,
"27356 Snow Creek Place Valencia, CA 91381",https://www.forsalebyowner.com/listing/_/64698af1f642e0893701ff04,27356 Snow Creek Place,Valencia,91381,CA,879990,3.5,4,
"27356 Snow Creek Place Valencia, CA 91381",https://www.forsalebyowner.com/listing/_/64698af0ba3ce42c0308d094,27356 Snow Creek Place,Valencia,91381,CA,869990,2.5,4,
"27356 Snow Creek Place Valencia, CA 91381",https://www.forsalebyowner.com/listing/_/64698aef73cf37297103b8a5,27356 Snow Creek Place,Valencia,91381,CA,799990,2.5,3,
"27321 Great Divide Lane Valencia, CA 91381",https://www.forsalebyowner.com/listing/_/64698af0fdaaf6d35c0f0244,27321 Great Divide Lane,Valencia,91381,CA,832990,2.5,4,
"27313 Great Divide Lane Valencia, CA 91381",https://www.forsalebyowner.com/listing/_/64698aee80395564200e7694,27313 Great Divide Lane,Valencia,91381,CA,829990,2.5,4,
"27627 S. Siena Dr. San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/646847a6b4234fbb2e02f775,27627 S. Siena Dr.,San Pedro,90732,CA,1337798,3,4,
"21302 Rockview Terrace Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/6468449c1536f39fef00e898,21302 Rockview Terrace,Chatsworth,91311,CA,1812558,5.5,5,
"28814 Saddle Circle Castaic, CA 91384",https://www.forsalebyowner.com/listing/_/64684424cea94383e702dbeb,28814 Saddle Circle,Castaic,91384,CA,950585,2,4,
"1818 Canyon Oaks Lane San Dimas, CA 91773",https://www.forsalebyowner.com/listing/_/64605c16bb165c106103a7ec,1818 Canyon Oaks Lane,San Dimas,91773,CA,4600000,4.5,4,
"1807 Canyon Oaks Lane San Dimas, CA 91773",https://www.forsalebyowner.com/listing/_/64605c150e91f81fa00b895e,1807 Canyon Oaks Lane,San Dimas,91773,CA,4100000,5.5,5,
"1815 Canyon Oaks Lane San Dimas, CA 91773",https://www.forsalebyowner.com/listing/_/64605c14c460abe6b1056cf2,1815 Canyon Oaks Lane,San Dimas,91773,CA,4120000,5.5,5,
"512 Tamarind Way, Unit C West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/646050a1d1db69797605ee27,"512 Tamarind Way, Unit C",West Covina,91791,CA,664990,2.5,2,
"512 Tamarind Way, Unit D West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/646050a08ba9d5181008ae95,"512 Tamarind Way, Unit D",West Covina,91791,CA,664990,2.5,2,
"27632 Ensemble Pl. Valencia, CA 91355",https://www.forsalebyowner.com/listing/_/645f0b80901195270109db8f,27632 Ensemble Pl.,Valencia,91355,CA,778990,2.5,3,
"27332 Encore Way Valencia, CA 91355",https://www.forsalebyowner.com/listing/_/645f0b831da3ad7189008a0d,27332 Encore Way,Valencia,91355,CA,1187875,3.5,4,
"27162 Valley Oak Pl. Valencia, CA 91355",https://www.forsalebyowner.com/listing/_/645f0b4a750fc3ba720233f4,27162 Valley Oak Pl.,Valencia,91355,CA,686206,3,4,
"27317 Encore Way Valencia, CA 91355",https://www.forsalebyowner.com/listing/_/645dba06f5fac2175a01af2e,27317 Encore Way,Valencia,91355,CA,1208308,3.5,4,
"11719 Toyon Drive Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/645db67e52058cfd4602cca5,11719 Toyon Drive,Chatsworth,91311,CA,1879256,5.5,5,
"17814 Top Court Santa Clarita, CA 91350",https://www.forsalebyowner.com/listing/_/64571e11d4162a8c8b021244,17814 Top Court,Santa Clarita,91350,CA,842156,2,2,
"6105 W. Avenue J-9 Lancaster, CA 93536",https://www.forsalebyowner.com/listing/_/6457169b7f679eb5ce067ba6,6105 W. Avenue J-9,Lancaster,93536,CA,613996,3,4,
"6115 W. Avenue J-9 Lancaster, CA 93536",https://www.forsalebyowner.com/listing/_/6457169b2de4b1866c0d2134,6115 W. Avenue J-9,Lancaster,93536,CA,611058,3,4,
"14318 Claro Way Gardena, CA 90249",https://www.forsalebyowner.com/listing/_/6455d012426b1ae84302e23c,14318 Claro Way,Gardena,90249,CA,744990,3.5,3,
"1238 Poppy Court Montebello, CA 90640",https://www.forsalebyowner.com/listing/_/6455c453c6159362440b0644,1238 Poppy Court,Montebello,90640,CA,1042990,3.5,4,
"1198 Poppy Court Montebello, CA 90640",https://www.forsalebyowner.com/listing/_/6455c4545d3d100d29097e14,1198 Poppy Court,Montebello,90640,CA,1055990,3.5,4,
"1208 Poppy Court Montebello, CA 90640",https://www.forsalebyowner.com/listing/_/6455c452496e5bf26a04e804,1208 Poppy Court,Montebello,90640,CA,1012990,3.5,4,
"511 Colby Cir Claremont, CA 91711",https://www.forsalebyowner.com/listing/_/6454774d4c964751e40b3a84,511 Colby Cir,Claremont,91711,CA,939990,2.5,3,
"1679 W Lexington Lane San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/644c8c5752ca1139df09cfda,1679 W Lexington Lane,San Pedro,90732,CA,889410,2.5,3,
"510 Tamarind Way, Unit C West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/644c8a0142209fc917002ca4,"510 Tamarind Way, Unit C",West Covina,91791,CA,652990,2.5,2,
"20509 Overlook Ct Porter Ranch, CA 91326",https://www.forsalebyowner.com/listing/_/644b435c92e7917ce9099258,20509 Overlook Ct,Porter Ranch,91326,CA,2485995,4.5,5,
"20550 Overlook Ct Porter Ranch, CA 91326",https://www.forsalebyowner.com/listing/_/644b435c65b6780b200142a6,20550 Overlook Ct,Porter Ranch,91326,CA,2499995,4.5,5,
"20531 Overlook Ct Porter Ranch, CA 91326",https://www.forsalebyowner.com/listing/_/644b435c65b6780b200142a7,20531 Overlook Ct,Porter Ranch,91326,CA,2352995,4.5,5,
"10931 Bee Canyon Road Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/6449eeb57ffa573c400e6374,10931 Bee Canyon Road,Chatsworth,91311,CA,3499990,5.5,5,
"27515 Dayton Ave. San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/6444ac1a2d80069ef40c6676,27515 Dayton Ave.,San Pedro,90732,CA,1501603,3,5,
"Canoga Ave and Deerlake Ranch Road Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/6444a80f80bae43c89038454,Canoga Ave and Deerlake Ranch Road,Chatsworth,91311,CA,1681990,5.5,5,
"Canoga Ave and Deerlake Ranch Road Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/6444a80defee1857d10973f4,Canoga Ave and Deerlake Ranch Road,Chatsworth,91311,CA,1756990,5.5,5,
"Canoga Ave and Deerlake Ranch Road Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/6444a80c356ea46dd2058144,Canoga Ave and Deerlake Ranch Road,Chatsworth,91311,CA,1615990,4.5,4,
"21150 Poema Place Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/6444a80d7db3cec228019464,21150 Poema Place,Chatsworth,91311,CA,1464990,5.5,5,
"21150 Poema Place Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/6444a80e356ea46dd2058145,21150 Poema Place,Chatsworth,91311,CA,1514990,5.5,5,
"21150 Poema Place Chatsworth, CA 91311",https://www.forsalebyowner.com/listing/_/6444a80dfb27996c910b5564,21150 Poema Place,Chatsworth,91311,CA,1414990,4.5,4,
"27635 Dayton Ave. San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/64435c037dce2425b7095010,27635 Dayton Ave.,San Pedro,90732,CA,1313019,3,4,
"27520 Dayton Ave. San Pedro, CA 90732",https://www.forsalebyowner.com/listing/_/64435c023f691a6ded0968f4,27520 Dayton Ave.,San Pedro,90732,CA,1464702,3,5,
"1633 Rosewell Road West Covina, CA 91791",https://www.forsalebyowner.com/listing/_/643a14f04c21951ca6043865,1633 Rosewell Road,West Covina,91791,CA,814990,2.5,3,
"1228 Poppy Court Montebello, CA 90640",https://www.forsalebyowner.com/listing/_/643a14dc75a059872e098186,1228 Poppy Court,Montebello,90640,CA,1119990,3.5,4,
"8719 West Lynn Way Lancaster, CA 93536",https://www.forsalebyowner.com/listing/_/6438c682c4c87fa8030562c4,8719 West Lynn Way,Lancaster,93536,CA,539990,2,3,
"28505 Sunny Ridge Terrace Castaic, CA 91384",https://www.forsalebyowner.com/listing/_/6430e06a201a6db5f6058504,28505 Sunny Ridge Terrace,Castaic,91384,CA,1340005,4,5,
"28524 Sunny Ridge Terrace Castaic, CA 91384",https://www.forsalebyowner.com/listing/_/6430e0694f1686ea920f53a4,28524 Sunny Ridge Terrace,Castaic,91384,CA,1276940,3,4,
"28523 Sunny Ridge Terrace Castaic, CA 91384",https://www.forsalebyowner.com/listing/_/642e3ede3ecde3c183037364,28523 Sunny Ridge Terrace,Castaic,91384,CA,1184420,4,4,
"6706 N Royce Lane Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5cfde8e3530a005b77,6706 N Royce Lane,Van Nuys,91411,CA,921500,3.5,4,
"6708 N Royce Lane Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5e6dfdb856a00b9104,6708 N Royce Lane,Van Nuys,91411,CA,911500,3.5,4,
"6712 N Royce Lane Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5cfde8e3530a005b78,6712 N Royce Lane,Van Nuys,91411,CA,911500,3.5,4,
"6718 N Royce Lane Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5cfde8e3530a005b79,6718 N Royce Lane,Van Nuys,91411,CA,921500,3.5,4,
"6722 N Royce Lane Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5cbbe810f7ca007ed4,6722 N Royce Lane,Van Nuys,91411,CA,911500,3.5,4,
"15316 W Archwood St Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe606f9586e8b10d8464,15316 W Archwood St,Van Nuys,91411,CA,939500,3.5,4,
"15311 W Lemay St Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5fca87c8b7180b6904,15311 W Lemay St,Van Nuys,91411,CA,905000,3.5,4,
"6707 N Galie Drive Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5cfde8e3530a005b76,6707 N Galie Drive,Van Nuys,91411,CA,876500,3.5,4,
"6715 N Galie Drive Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5cfde8e3530a005b7a,6715 N Galie Drive,Van Nuys,91411,CA,886500,3.5,4,
"6719 N Galie Drive Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5cfde8e3530a005b7b,6719 N Galie Drive,Van Nuys,91411,CA,876500,3.5,4,
"6721 N Galie Drive Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe615f811b7d2000cf04,6721 N Galie Drive,Van Nuys,91411,CA,876500,3.5,4,
"6707 N Sepulveda Blvd Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5cfde8e3530a005b7d,6707 N Sepulveda Blvd,Van Nuys,91411,CA,851500,3.5,4,
"6711 N Sepulveda Blvd Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5defec0268800766c4,6711 N Sepulveda Blvd,Van Nuys,91411,CA,885500,3.5,4,
"6715 N Sepulveda Blvd Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5dfde8e3530a005b80,6715 N Sepulveda Blvd,Van Nuys,91411,CA,871500,3.5,4,
"6719 N Sepulveda Blvd Van Nuys, CA 91411",https://www.forsalebyowner.com/listing/_/641fbe5dfde8e3530a005b7f,6719 N Sepulveda Blvd,Van Nuys,91411,CA,851500,3.5,4,
"28514 Sunny Ridge Terrace Castaic, CA 91384",https://www.forsalebyowner.com/listing/_/641fbcde00d8d19b180dfde5,28514 Sunny Ridge Terrace,Castaic,91384,CA,1188459,3,4,
"28838 Saddle Circle Castaic, CA 91384",https://www.forsalebyowner.com/listing/_/641fbcdd6b29cec4f903e354,28838 Saddle Circle,Castaic,91384,CA,962860,2,3,
"2901 Fisk Lane Redondo Beach, CA 90278",https://www.forsalebyowner.com/listing/_/641d14c335c9a3f76b024434,2901 Fisk Lane,Redondo Beach,90278,CA,1233632,2.5,2,
"2901 Fisk Lane Redondo Beach, CA 90278",https://www.forsalebyowner.com/listing/_/641d14c3915b20a8780f41e4,2901 Fisk Lane,Redondo Beach,90278,CA,1364787,3,4,
